Executable name	Version	Application name	Application category	Number of devices	Number of executions	Average memory usage per execution [bytes]
uncsetting.exe	5.7.0.93	unknown	-	7	18	-
aigpusniffer.exe	1.0.0.1	AIGPUSniffer	-	2	3	-
otipxy.exe	0.0.0.0	unknown	-	29	34	-
pcdrsysinfonal.p5x	6.0.7106.1402	PC-Doctor for Windows	-	17	59	-
cptinstall.exe	4.7.2020.403	Zoom Video Call	-	1	1	-
pcdrsysinfocommunication.p5x	6.0.7106.1402	PC-Doctor for Windows	-	17	59	-
regieplugin.exe	12.2.2.0	HttpWatch Basic	-	3	7	-
pcdrsysinfostorage.p5x	6.0.7106.1402	PC-Doctor for Windows	-	17	59	-
uninstall eftps batch provider client.exe	17.0.0.0	InstallAnywhere	-	1	1	-
pcdrsysinfocpu_x86.p5x	6.0.7106.1402	PC-Doctor for Windows	-	17	59	-
tradeweb.exe	8.0.7.24	SuperViewer Application	-	1	1	-
powerengage.exe	2.0.5.0	PowerENGAGE	-	1	26	-
officebackgroundtaskhandler.exe	16.0.9126.2295	MSO	Office	2	2	-
igfxsdk.exe	0.0.0.0	Intel Common User Interface	Utility & Device driver	1	1	-
ptupdate.exe	3910.5.1912.500	webex ptUpdate	Instant messaging & Video-conferencing	2	73	-
intelcphecisvc.exe	9.1.1.1117	IntelCpHeciSvc Executable	Utility & Device driver	1	11	-
cptinstall.exe	1.0.0.1	Zoom Video Call	-	1	1	-
pcdrsysinfosoftware.p5x	6.0.7106.1402	PC-Doctor for Windows	-	17	59	-
usoclient.exe	10.0.16299.579	Microsoft Windows Operating System	Operating System	16	76	-
msi6897.tmp	5.1.20513.0	Microsoft Silverlight	-	2	2	-
bravecrashhandler.exe	1.3.99.0	BraveSoftware Update	-	1	6	-
verclsid.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	13	22	-
fxcopcmd.exe	16.0.29724.72	Microsoft Visual Studio	-	1	22	-
speechmodeldownload.exe	10.0.18362.387	Microsoft Windows Operating System	Operating System	4	20	-
n1wth09w.exe	20.0.0.0	Intel Alpine Ridge Thunderbolt Firmware	-	1	1	-
msohtmed.exe	14.0.7007.1000	Microsoft Office 2010	Office	25	26	-
hostname.exe	0.0.0.0	unknown	-	19	48	-
rg.exe	0.0.0.0	unknown	Utility & Device driver	1	4	-
pcdrsysinfobluetooth.p5x	6.0.7106.1402	PC-Doctor for Windows	-	17	59	-
igfxext.exe	6.15.10.4534	Intel Common User Interface	Utility & Device driver	1	5	-
gacutil.exe	4.0.30319.33440	Microsoft .NET Framework	Operating System	1	2	-
