Executable name	Version	Number of executions	Average memory usage per execution [bytes]	Number of devices	Application name
bcssync.exe	14.0.4756.1000	14	-	5	Microsoft Office 2010
integratedoffice.exe	16.0.11328.20362	1	-	1	Microsoft Office
bcssync.exe	14.0.4756.1000	29	-	10	Microsoft Office 2010
sdxhelper.exe	16.0.12527.20278	48	-	1	Microsoft Office
protocolhandler.exe	15.0.4569.1503	6	-	3	Microsoft Office 2013
lynchtmlconv.exe	16.0.12718.20010	4	-	1	Microsoft Office
fltldr.exe	16.0.12703.20008	5	-	1	Microsoft Office
msoia.exe	16.0.12527.20122	16	-	1	Microsoft Office
cmigrate.exe	15.0.4420.1017	727	-	39	Microsoft Office 2013
protocolhandler.exe	16.0.11328.20512	16	-	5	Microsoft Office
sdxhelper.exe	16.0.12430.20184	50	-	1	Microsoft Office
msoia.exe	15.0.4727.1000	46	-	2	Microsoft Office 2013
msoia.exe	16.0.12325.20280	15	-	1	Microsoft Office
pdfreflow.exe	16.0.11929.20562	4	-	2	Microsoft Office
msoia.exe	16.0.11328.20468	54	-	4	Microsoft Office
fltldr.exe	15.0.4545.1000	33	-	3	Microsoft Office 2013
msoia.exe	16.0.11929.20234	5	-	1	Microsoft Office
msoia.exe	16.0.11929.20234	20	-	1	Microsoft Office
cmigrate.exe	15.0.4753.1000	7	-	1	Microsoft Office 2013
protocolhandler.exe	16.0.11929.20562	5	-	1	Microsoft Office
msoia.exe	16.0.10730.20304	13	-	1	Microsoft Office
msouc.exe	16.0.11328.20512	1	-	1	Microsoft Office
msoia.exe	16.0.12527.20122	14	-	1	Microsoft Office
sdxhelper.exe	16.0.11929.20300	40	-	1	Microsoft Office
msoia.exe	16.0.4266.1001	63	-	1	Microsoft Office 2016
setlang.exe	16.0.11328.20368	2	-	2	Microsoft Office
msqry32.exe	14.0.7010.1000	5	-	2	Microsoft Office 2010
officec2rclient.exe	16.0.12430.20234	46	-	1	Microsoft Office
hxtsr.exe	16.0.8241.4127	1	-	1	Microsoft Office 2016
protocolhandler.exe	16.0.11328.20368	1	-	1	Microsoft Office
mspub.exe	14.0.7011.1000	1	-	1	Microsoft Office 2010
msoia.exe	16.0.11328.20478	16	-	1	Microsoft Office
