Executable name	Version	Number of executions	Average memory usage per execution [bytes]	Number of devices	Application name
officeclicktorun.exe	16.0.12718.20004	4	38436864	1	Microsoft Office
officeclicktorun.exe	16.0.11328.20492	8	38010880	1	Microsoft Office
winword.exe	14.0.7121.5004	4	37470208	1	Microsoft Office 2010
winword.exe	16.0.11328.20492	2	36438016	1	Microsoft Office
lynchtmlconv.exe	16.0.11929.20606	72	35744889	8	Microsoft Office
winword.exe	14.0.7015.1000	16178	35446142	925	Microsoft Office 2010
officeclicktorun.exe	16.0.11328.20524	24	33610605	2	Microsoft Office
visio.exe	14.0.7011.1000	25	33458858	3	Microsoft Office 2010
officeclicktorun.exe	16.0.12008.20000	13	33030144	1	Microsoft Office
officeclicktorun.exe	16.0.11629.20182	9	32818972	1	Microsoft Office
visio.exe	14.0.7011.1000	59	32507092	5	Microsoft Office 2010
winword.exe	16.0.11929.20648	45	31987961	5	Microsoft Office
lynchtmlconv.exe	16.0.11929.20648	44	30898296	6	Microsoft Office
winword.exe	14.0.7236.5000	167	30597822	12	Microsoft Office 2010
lynchtmlconv.exe	16.0.11328.20368	2485	30277750	272	Microsoft Office
lynchtmlconv.exe	16.0.11929.20562	577	27750250	67	Microsoft Office
excel.exe	16.0.11929.20648	253	27433847	6	Microsoft Office
officeclicktorun.exe	16.0.12527.20242	33	27357890	3	Microsoft Office
officeclicktorun.exe	16.0.11929.20296	92	27303936	2	Microsoft Office
officeclicktorun.exe	16.0.12624.20374	9	27226567	1	Microsoft Office
lynchtmlconv.exe	16.0.11328.20512	6889	27134324	692	Microsoft Office
lynchtmlconv.exe	16.0.12008.20000	5	27066368	1	Microsoft Office
officec2rclient.exe	16.0.12527.20242	99	27000832	3	Microsoft Office
winword.exe	14.0.4762.1000	6	26847914	2	Microsoft Office 2010
excel.exe	16.0.11929.20562	4890	25797831	115	Microsoft Office
winword.exe	16.0.12325.20298	4	25755648	1	Microsoft Office
lynchtmlconv.exe	16.0.11328.20554	173	25046290	26	Microsoft Office
officeclicktorun.exe	16.0.11328.20554	1546	24867271	150	Microsoft Office
lynchtmlconv.exe	16.0.11328.20512	1984	24471343	195	Microsoft Office
winproj.exe	14.0.7011.1000	7	24444928	1	Microsoft Office 2010
lynchtmlconv.exe	16.0.11328.20368	179	24370144	18	Microsoft Office
lynchtmlconv.exe	16.0.11929.20300	7	23173529	1	Microsoft Office
ucmapi.exe	16.0.11929.20300	5	22911385	1	Microsoft Office
lynchtmlconv.exe	16.0.11929.20562	950	22845001	113	Microsoft Office
lynchtmlconv.exe	16.0.11929.20648	141	22789014	15	Microsoft Office
firstrun.exe	15.0.4569.1506	1	22675456	1	Microsoft Office
ucmapi.exe	16.0.12527.20278	8	22188617	1	Microsoft Office
officeclicktorun.exe	16.0.11929.20648	404	21835053	28	Microsoft Office
lynchtmlconv.exe	16.0.12527.20278	6	21747029	1	Microsoft Office
officeclicktorun.exe	16.0.11328.20468	26	21541398	5	Microsoft Office
lynchtmlconv.exe	16.0.12325.20298	11	21345075	1	Microsoft Office
officeclicktorun.exe	16.0.11328.20362	4912	21136696	508	Microsoft Office
ucmapi.exe	16.0.12718.20010	1	20381696	1	Microsoft Office
officeclicktorun.exe	16.0.11328.20512	13813	20283873	1107	Microsoft Office
ocpubmgr.exe	16.0.11929.20562	1	20185088	1	Microsoft Office
