Platform	Name	Entity	Last IP address	Device type	Device model	CPU model	Total RAM [bytes]	Hard disks	OS version and architecture	DXS - Web browsing (DXS - Web browsing)	DXS - Business apps (DXS - Business apps)	DXS - Device (DXS - Device)	DXS - Productivity (DXS - Productivity)	Device (sentiment) (DXS - User sentiments)	Web browsing (sentiment) (DXS - User sentiments)	Business apps (sentiment) (DXS - User sentiments)	Productivity (sentiment) (DXS - User sentiments)	Security (sentiment) (DXS - User sentiments)	Employee Satisfaction (DXS - User sentiments)	DXS - Security (DXS - Security)	OS name
Windows	TXHQRWAGLE-L1	VPN (TX)	10.72.0.196	laptop	Latitude E7440	Intel Core i7-4600U CPU @ 2.10GHz	12884901888	Samsung (238.5GB, 70% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	5.92062	9.49894	9.68255	8.40212	10	10	10	10	10		10	Windows 10
Windows	TXHQRWANG-L1	VPN (TX)	10.99.88.195	laptop	Latitude E5570	Intel Core i7-6820HQ CPU @ 2.70GHz	17179869184	SK hynix SC401 SATA 256GB (238.5GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)	6.87867	9.42237	9.465	8.61533	10	10	10	10	10		10	Windows 10
Windows	TXHQRWILLIN-L2	-	10.72.105.215	laptop	Latitude E7450	Intel Core i5-5200U CPU @ 2.20GHz	17179869184	Samsung (119.2GB, 80% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)			10								10	Windows 10
Windows	TXHQRWITHER-L1	VPN (TX)	10.99.84.11	laptop	Latitude E7440	Intel Core i5-4300U CPU @ 1.90GHz	12884901888	HP HP OfficeJet Pro USB Device (0B), Lexar USB Flash Drive USB Device (29.8GB), Samsung (119.2GB, 90% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	8.61001	10	8.34575	7.26824	10	10	10	10	10		10	Windows 10
Windows	TXHQSANDERS-D2	Houston - 910 Corp (TX)	10.132.213.92	desktop	OptiPlex 9020	Intel Core i7-4770S CPU @ 3.10GHz	12884901888	Samsung (119.2GB, 70% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)												Windows 10
Windows	TXHQSANDERSO-L1	VPN (TX)	10.99.86.188	laptop	Latitude 5400	Intel Core i5-8365U CPU @ 1.60GHz	8589934592	BC511 NVMe SK hynix 256GB (238.5GB)	Windows 10 Enterprise 1809 (64 bits)	5.76297	9.38547	8.50379	6.59714	10	10	10	10	10		10	Windows 10
Windows	TXHQSANWEILE-L3	-	204.60.3.86	laptop	Latitude E7240	Intel Core i5-4300U CPU @ 1.90GHz	12884901888	SK hynix SH920 mSATA 128GB (119.2GB, 80% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	3.33333	9.55083	7	8.34211	10	10	10	10	10		10	Windows 10
Windows	TXHQSAPTEST-D2	Houston - 910 Corp (TX)	10.133.28.41	desktop	OptiPlex 9020	Intel Core i7-4790S CPU @ 3.20GHz	8589934592	LITEON (119.2GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)	9.46306		9.7351	8.9365	10	10	10	10	10		10	Windows 10
Windows	TXHQSAS64-D1	Houston - 910 Corp (TX)	10.133.60.72	desktop	OptiPlex 9020	Intel Core i7-4770S CPU @ 3.10GHz	8589934592	Samsung (119.2GB, 80% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			8.92626		10	10	10	10	10		10	Windows 10
Windows	TXHQSBATCHEL-L2	VPN (TX)	10.99.85.1	laptop	Latitude E7250	Intel Core i5-5300U CPU @ 2.30GHz	8589934592	Samsung (238.5GB, 90% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	6.83659	9.53371	0	8.2055	10	10	10	10	10		6.2	Windows 10
